age,competative_exams,access_to_internet,study_hours_per_day,has_scholarship,extracurricular_activities,fam_fin_status,health,f_edu,m_edu,f_job,m_job,alcoholic,additional_tuition,fam_size,fam_relation,prev_percent_1,prev_percent_2,prev_percent_3,gender_F,gender_M,residence_D,residence_H,location_R,location_U,TARGET_PREDICTION_PERCENT
25,0,1,6,0,0,1,5,5,4,0,1,0,0,2,1,54,94,70,True,False,True,False,False,True,96
18,0,1,6,0,1,2,5,1,1,0,0,1,0,4,5,80,79,78,False,True,False,True,True,False,84
19,0,1,3,0,1,3,4,3,3,0,0,1,0,4,5,91,78,87,True,False,False,True,True,False,85
22,0,1,4,1,1,2,5,5,2,1,1,4,0,4,4,71,87,66,False,True,True,False,True,False,75
10,0,0,5,0,1,2,4,3,2,1,1,0,0,9,3,75,78,69,False,True,True,False,True,False,74
19,0,1,3,0,1,3,4,5,4,1,1,0,0,4,5,66,84,80,True,False,True,False,True,False,84
16,0,0,1,0,1,4,5,1,2,1,0,5,1,3,4,62,89,81,False,True,True,False,False,True,73
22,1,0,9,1,1,5,5,4,1,1,1,2,1,4,4,65,69,90,False,True,True,False,True,False,66
23,1,1,3,0,1,3,2,3,2,1,1,0,1,3,2,86,89,77,True,False,False,True,False,True,89
21,0,1,2,0,1,4,2,2,2,1,0,0,0,3,3,65,75,74,True,False,True,False,False,True,87
15,0,1,2,1,0,5,5,4,4,1,1,0,1,2,4,56,67,78,True,False,False,True,True,False,77
22,1,0,9,0,0,4,3,3,2,1,1,1,0,4,1,49,62,49,False,True,True,False,False,True,53
16,0,1,3,1,1,5,2,4,4,1,1,2,1,4,3,90,91,92,True,False,True,False,False,True,92
22,0,1,1,1,1,3,2,2,5,1,1,0,1,4,4,87,98,65,True,False,False,True,True,False,96
23,1,1,1,1,0,2,4,3,4,0,1,0,1,8,5,47,60,49,True,False,True,False,False,True,67
20,1,1,2,0,1,3,3,5,5,1,1,1,0,4,5,87,87,86,True,False,False,True,False,True,86
20,1,1,10,0,1,4,4,4,4,1,1,1,0,4,5,88,90,89,True,False,True,False,False,True,89
15,0,1,1,0,0,2,1,4,2,1,1,2,0,5,2,50,79,60,False,True,True,False,False,True,90
18,0,1,2,0,1,4,2,3,2,1,0,0,0,3,5,73,74,88,False,True,True,False,False,True,89
21,0,1,3,1,1,3,5,5,4,1,1,0,1,2,5,42,69,73,True,False,False,True,True,False,53
22,0,1,1,0,1,3,3,1,1,1,0,1,0,3,3,80,82,80,False,True,True,False,False,True,82
24,1,1,5,0,0,4,5,2,4,1,0,0,0,9,5,86,83,53,True,False,False,True,False,True,67
20,1,1,6,0,1,4,4,4,4,1,0,0,0,4,4,89,86,77,True,False,False,True,False,True,80
20,0,0,6,1,0,3,4,1,0,1,1,4,0,3,1,89,87,84,True,False,False,True,False,True,88
21,1,1,8,0,1,2,3,3,4,1,0,1,0,4,4,96,97,89,False,True,False,True,True,False,94
21,0,1,6,0,1,4,3,3,3,1,0,1,0,4,3,90,91,79,True,False,True,False,True,False,86
22,0,0,4,1,1,5,3,5,4,1,0,1,1,5,3,88,91,80,False,True,True,False,True,False,87
20,0,1,8,0,0,1,3,2,2,0,0,1,0,3,4,87,90,90,False,True,True,False,False,True,78
21,0,0,3,1,1,4,5,4,4,0,0,2,1,4,4,86,56,58,True,False,True,False,True,False,91
19,1,1,5,1,1,4,4,4,3,1,0,1,0,4,4,86,88,60,False,True,False,True,True,False,78
19,1,1,3,1,0,3,4,4,2,1,0,0,0,6,5,87,88,66,False,True,True,False,True,False,95
19,0,1,5,0,1,5,3,2,3,1,0,0,1,6,3,69,67,66,False,True,False,True,False,True,95
22,0,1,3,1,0,1,5,5,4,0,1,1,1,2,1,95,57,46,False,True,True,False,True,False,82
23,1,1,1,0,1,3,3,3,5,0,0,0,0,5,5,41,71,49,True,False,False,True,False,True,88
15,1,1,4,0,0,3,3,3,1,1,0,2,1,5,4,46,50,59,True,False,True,False,True,False,55
19,1,1,1,1,0,2,5,2,1,1,0,4,1,3,2,89,88,64,True,False,True,False,False,True,92
15,1,1,2,0,1,5,5,4,4,1,1,0,0,4,4,33,40,45,False,True,True,False,False,True,41
20,0,0,7,0,3,4,4,4,3,1,1,0,0,3,3,94,95,95,True,False,True,False,False,True,93
20,1,1,2,1,1,5,5,5,5,1,0,0,1,4,5,87,90,76,True,False,False,True,False,True,97
16,1,1,2,0,1,3,5,4,2,1,1,0,1,5,4,87,88,92,False,True,True,False,False,True,89
20,1,1,2,0,1,4,5,4,4,1,1,4,0,2,5,75,93,71,False,True,False,True,False,True,75
20,1,0,3,1,1,1,5,2,5,1,0,0,0,5,5,54,65,89,False,True,False,True,True,False,97
21,0,0,0,0,0,2,2,4,2,1,0,1,0,5,2,76,77,78,False,True,True,False,False,True,80
20,0,1,6,0,1,2,9,1,1,0,0,1,0,4,5,80,79,78,False,True,False,True,True,False,84
24,0,1,3,1,1,5,4,5,5,1,0,3,1,4,5,86,89,83,True,False,True,False,True,False,96
18,1,1,1,0,1,2,3,3,4,1,0,3,0,4,5,88,87,85,False,True,True,False,False,True,85
21,1,0,6,0,1,3,3,5,2,1,1,1,0,3,1,34,37,37,True,False,True,False,False,True,36
22,1,1,6,0,0,2,3,3,2,0,0,0,1,5,5,51,68,81,True,False,True,False,False,True,61
18,0,0,0,0,3,5,4,4,2,1,0,0,0,3,3,99,81,98,True,False,True,False,False,True,89
10,0,0,9,0,0,2,5,4,1,0,1,0,0,13,1,75,66,91,False,True,False,True,False,True,77
16,0,1,7,0,1,5,3,4,4,1,1,0,0,4,4,88,78,82,False,True,True,False,False,True,85
24,0,1,2,1,0,1,5,4,3,0,1,2,1,3,2,84,56,51,False,True,False,True,True,False,86
16,0,1,7,0,1,3,5,3,3,1,1,0,1,4,1,86,96,93,True,False,False,True,False,True,91
27,0,1,7,1,0,2,5,5,1,1,0,1,0,5,3,78,82,79,False,True,True,False,True,False,96
26,0,0,4,1,0,2,4,2,2,1,0,0,1,6,1,87,90,79,False,True,True,False,False,True,89
23,1,1,4,0,1,3,3,3,2,1,1,1,1,3,4,86,91,78,False,True,False,True,False,True,98
22,0,1,1,1,1,2,5,2,2,0,0,0,0,4,5,74,77,74,False,True,False,True,True,False,76
27,1,1,5,0,0,5,5,2,1,1,0,2,1,4,2,73,89,59,False,True,False,True,False,True,74
21,0,1,6,1,1,4,4,3,3,1,0,0,0,3,3,72,57,76,False,True,True,False,False,True,62
19,0,1,2,1,1,5,5,2,2,0,0,0,0,6,5,93,60,99,False,True,False,True,True,False,91
20,1,1,0,1,3,4,3,5,2,1,0,0,2,3,4,81,82,93,False,True,False,True,False,True,85
19,1,1,2,0,1,3,3,4,5,1,0,2,0,3,5,87,69,45,False,True,False,True,False,True,85
22,1,1,2,1,0,2,3,0,4,1,1,0,1,3,4,38,67,78,True,False,True,False,False,True,93
20,0,1,2,0,0,4,4,3,3,1,0,1,0,4,5,92,91,86,False,True,True,False,False,True,89
18,0,0,1,0,1,1,3,5,3,1,1,0,1,3,3,70,67,62,False,True,True,False,True,False,69
24,1,1,4,0,0,2,5,5,3,1,1,0,1,3,4,51,77,78,True,False,True,False,True,False,69
19,0,1,3,0,1,3,4,5,2,1,1,0,0,3,5,64,68,66,False,True,True,False,False,True,65
19,1,1,2,0,1,4,4,5,5,1,1,1,1,4,5,68,69,68,True,False,False,True,False,True,68
21,0,1,3,0,0,3,4,3,3,0,0,1,0,5,4,71,70,71,True,False,False,True,False,True,72
21,1,0,7,1,1,4,3,0,0,1,1,2,1,3,4,79,83,84,True,False,True,False,False,True,84
15,1,1,3,0,1,3,5,4,2,1,1,2,0,4,3,89,59,58,True,False,False,True,False,True,72
19,0,1,1,0,0,1,1,5,5,0,0,4,1,4,5,62,69,72,False,True,True,False,False,True,68
28,1,0,8,1,0,3,5,2,1,1,0,4,1,3,3,65,77,63,False,True,False,True,True,False,65
23,1,1,2,1,0,2,3,3,3,1,0,1,1,5,3,86,89,80,True,False,False,True,False,True,87
22,0,0,4,1,1,5,3,5,4,1,0,1,1,5,3,88,91,80,False,True,True,False,True,False,56
19,0,1,3,1,1,2,5,2,4,1,1,0,0,3,5,88,88,84,False,True,False,True,False,True,87
28,1,0,7,0,1,4,3,2,2,1,1,2,0,3,5,56,69,71,False,True,False,True,True,False,76
19,1,1,6,0,1,4,5,5,5,1,0,0,0,5,4,48,83,63,False,True,False,True,False,True,70
19,0,1,4,0,1,2,5,5,5,1,1,0,0,3,5,85,86,89,True,False,True,False,True,False,86
22,1,1,7,1,1,4,5,4,1,1,0,3,0,3,3,85,91,82,True,False,False,True,True,False,98
23,1,1,7,1,1,5,5,5,4,0,0,3,1,3,5,92,88,77,True,False,True,False,True,False,83
23,0,0,5,1,1,5,4,5,5,1,1,0,0,5,4,89,92,81,False,True,True,False,True,False,87
23,0,1,7,0,1,2,4,1,4,1,0,4,0,2,5,78,60,87,False,True,False,True,False,True,62
19,0,1,4,0,1,5,5,5,5,1,1,0,0,4,2,88,92,92,True,False,True,False,True,False,93
21,0,0,5,0,0,3,4,1,0,0,1,1,0,2,4,75,77,74,False,True,False,True,False,True,76
18,0,1,3,0,1,5,4,5,5,1,0,1,0,5,5,98,96,83,True,False,False,True,False,True,92
20,0,1,4,1,1,5,5,1,2,0,0,1,0,4,5,56,78,92,True,False,False,True,False,True,89
21,0,1,1,0,1,3,3,3,2,1,0,1,0,4,4,82,70,75,False,True,True,False,False,True,80
20,1,1,2,0,1,2,5,4,4,1,0,0,0,4,4,89,84,78,True,False,True,False,True,False,89
20,1,1,5,1,0,3,5,1,1,1,1,2,0,5,4,80,87,79,True,False,False,True,True,False,95
19,1,1,3,0,1,2,5,4,1,0,1,0,0,6,5,64,46,81,False,True,True,False,True,False,61
21,1,1,6,0,1,5,3,3,4,1,1,1,0,15,2,81,78,93,False,True,False,True,False,True,84
15,1,1,4,0,0,5,3,4,2,1,1,1,0,4,3,48,60,78,False,True,True,False,True,False,61
20,1,0,6,0,1,5,4,2,5,0,0,0,0,6,4,65,89,87,False,True,True,False,False,True,97
21,1,0,6,1,1,4,4,4,4,0,0,2,1,5,4,90,92,76,True,False,True,False,True,False,81
19,0,1,5,1,0,3,4,3,4,1,0,1,0,4,5,91,97,49,False,True,True,False,False,True,88
18,1,1,8,0,0,2,2,4,2,1,0,1,1,4,4,67,75,65,False,True,True,False,False,True,78
16,1,1,8,0,1,5,4,5,5,1,0,0,1,4,5,89,89,85,False,True,True,False,False,True,87
19,0,1,7,0,1,3,4,5,4,1,1,0,0,4,5,95,94,96,True,False,True,False,False,True,93
